Country,Including NMSC Number, Including NMSC Rate,Excluding NMSC Number,Excluding NMSC Rate
ÿIran,"137,198",149,"133,121",144.5
ÿBolivia,"17,579",143.8,"16,811",138.7
ÿGuyana,"1,225",142.5,"1,223",142.3
ÿMalaysia,"51,650",142.1,"51,133",140.7
ÿAlgeria,"64,713",141.2,"63,306",138.2
ÿHaiti,"13,860",141.1,"13,753",140
ÿMexico,"207,154",140.9,"198,533",135.6
ÿTanzania,"44,931",140.1,"44,070",137.7
ÿMauritius,"2,888",140,"2,795",135.8
ÿMali,"15,151",139.9,"14,842",137
ÿSyria,"21,926",138.6,"21,505",135.7
ÿCambodia,"19,795",138.3,"19,516",136.3
ÿC“te d?Ivoire,"21,352",137,"21,083",135.4
ÿIndonesia,"408,661",136.9,"400,820",134.2
ÿIraq,"37,382",136.6,"36,982",134.9
ÿMyanmar,"77,603",135.5,"76,043",132.7
ÿTunisia,"20,551",135.4,"20,095",132.4
ÿEswatini,"1,108",135.3,"1,073",131.2
ÿSolomon Islands,684,134.8,681,134.2
ÿAngola,"24,607",133.5,"24,085",131.2
ÿNicaragua,"8,409",133.5,"8,242",130.8
ÿLibya,"8,171",132.3,"8,099",131
ÿMozambique,"26,578",128.8,"25,741",125
ÿBurundi,"7,997",128.2,"7,873",126.2
ÿHonduras,"10,815",128,"10,663",126.2
ÿEl Salvador,"9,799",127.1,"9,600",124.9
ÿCameroon,"19,564",126,"19,260",124.1
ÿKyrgyzstan,"7,266",125.8,"7,040",121.2
ÿBurkina Faso,"14,538",125.2,"14,308",123.1
ÿTurkmenistan,"6,807",122.7,"6,561",117.9
ÿGuatemala,"17,801",121.8,"17,304",118.8
ÿSomalia,"10,681",121,"10,423",118.1
ÿGhana,"27,385",120.4,"27,054",119
ÿChad,"10,185",118.1,"10,141",117.8
ÿMadagascar,"21,297",117.4,"20,693",114.5
ÿGuinea,"8,777",116.3,"8,558",113.5
ÿLesotho,"2,027",115.5,"1,969",112.1
ÿBotswana,"2,317",115.4,"2,222",110.6
ÿLiberia,"3,873",115.2,"3,796",113
ÿBelize,409,114.7,375,105.5
ÿGabon,"1,875",114.4,"1,842",112.3
ÿSenegal,"11,841",113.9,"11,561",111.2
ÿBahrain,"1,383",113.8,"1,373",113.1
ÿNigeria,"127,763",113.6,"124,735",111.1
ÿUzbekistan,"35,900",112.7,"35,498",111.3
ÿKuwait,"4,347",111.4,"4,327",110.9
ÿVanuatu,250,108.2,250,108.2
ÿTogo,"5,491",107.5,"5,292",104
ÿEquatorial Guinea,926,107.7,910,105.8
ÿSri Lanka,"33,243",106.9,"32,829",105.6
ÿComoros,619,106.8,599,104.1
ÿAfghanistan,"24,275",106.2,"23,750",103.5
ÿPakistan,"185,748",105.6,"180,938",102.7
ÿBangladesh,"167,256",105.6,"166,093",104.9
ÿOman,"4,045",105.3,"3,991",103.7
ÿMauritania,"3,274",105.3,"3,202",103.1
ÿMaldives,479,105.3,471,103
ÿUnited Arab Emirates,"5,526",105.1,"5,445",103.4
ÿSao Tome and Principe,144,104.9,143,104.2
ÿEthiopia,"80,334",104.5,"77,790",101.1
ÿDR Congo,"52,612",103,"52,049",101.9
ÿBenin,"7,496",102.6,"7,365",101.1
ÿCentral African Republic,"2,690",101.8,"2,656",100.6
ÿGuinea-Bissau,"1,170",100.3,"1,141",98
ÿEritrea,"2,463",99.8,"2,403",97.4
ÿSouth Sudan,"6,874",99.4,"6,737",97.4
ÿIndia,"1,413,316",98.5,"1,401,721",97.7
ÿSudan,"28,586",95.6,"28,076",93.9
ÿTajikistan,"6,467",91.7,"6,366",90
ÿDjibouti,805,90.7,787,88.7
ÿBhutan,638,87.6,630,86.5
ÿSaudi Arabia,"28,113",87.1,"27,768",85.8
ÿCape Verde,435,87,423,84.5
ÿEast Timor,828,84.5,820,83.5
ÿNiger,"11,593",83.7,"11,263",81.3
ÿRwanda,"7,122",83.2,"6,966",81.4
ÿYemen,"16,525",83.1,"16,260",81.5
ÿQatar,"1,733",82.4,"1,719",81.7
ÿÿÿNepal,"22,008",81.6,"21,766",80.7
ÿCongo,"2,727",80.7,"2,717",80.5
ÿGambia,"1,196",79.2,"1,192",78.9
ÿSierra Leone,"1,918",35.9,"1,915",35.9
